Enquanto	(P,19)
em	(I,18)
Portugal	(I,17)
o	(I,16)
Estoril	(I,15)
Open	(I,14)
entra	(I,13)
num	(I,12)
ciclo	(I,11)
diferente	(I,10)
,	(I,9)
agora	(I,8)
no	(I,7)
Clube	(I,6)
de	(I,5)
Ténis	(I,4)
do	(I,3)
Estoril	(I,2)
,	(O,|)
as	(C,17)
provas	(I,16)
do	(I,15)
Grand	(I,14)
Slam	(I,13)
prosseguem	(I,12)
a	(I,11)
política	(I,10)
de	(I,9)
reforço	(I,8)
dos	(I,7)
prémios	(I,6)
,	(O,|)
conforme	(O,|)
ficou	(O,|)
definido	(O,|)
.	(O,|)
De	(P,0)
Roland	(I,0)
Garros	(I,0)
veio	(I,0)
a	(I,0)
notícia	(I,0)
de	(I,0)
que	(I,0)
o	(I,0)
prize-money	(I,0)
global	(I,0)
chegará	(I,0)
aos	(I,0)
28	(I,0)
milhões	(I,0)
de	(I,0)
euros	(I,0)
,	(I,0)
enquanto	(O,|)
os	(O,|)
vencedores	(O,|)
passam	(O,|)
a	(O,|)
receber	(O,|)
1,8	(O,|)
milhões	(O,|)
,	(O,|)
ou	(O,|)
seja	(O,|)
,	(O,|)
uma	(O,|)
verba	(O,|)
150	(O,|)
mil	(O,|)
euros	(O,|)
superior	(O,|)
à	(O,|)
do	(O,|)
ano	(O,|)
passado	(O,|)
.	(O,|)
Mesmo	(O,|)
assim	(O,|)
,	(O,|)
na	(O,|)
Austrália	(O,|)
foram	(O,|)
distribuídos	(O,|)
27,5	(O,|)
milhões	(O,|)
de	(O,|)
euros	(O,|)
(2,13	(O,|)
para	(O,|)
os	(O,|)
vencedores	(O,|)
,	(O,|)
enquanto	(O,|)
Wimbledon	(O,|)
pagou	(O,|)
30,4	(O,|)
milhões	(O,|)
no	(O,|)
ano	(O,|)
passado	(O,|)
.	(O,|)
Quanto	(O,|)
ao	(O,|)
US	(O,|)
Open	(O,|)
,	(O,|)
a	(O,|)
edição	(O,|)
passada	(O,|)
pagou	(O,|)
28,1	(O,|)
milhões	(O,|)
de	(O,|)
euros	(O,|)
,	(O,|)
cabendo	(O,|)
2,2	(O,|)
milhões	(O,|)
aos	(O,|)
vencedores	(O,|)
.	(O,|)
A	(P,0)
tendência	(I,0)
está	(I,0)
generalizada	(I,0)
e	(I,0)
não	(I,0)
se	(I,0)
manifesta	(I,0)
apenas	(I,0)
nas	(I,0)
provas	(I,0)
do	(I,0)
Grand	(I,0)
Slam	(I,0)
.	(I,0)
Dados	(I,0)
da	(I,0)
imprensa	(I,0)
internacional	(I,0)
apontam	(I,0)
no	(I,0)
sentido	(I,0)
de	(I,0)
os	(I,0)
Masters	(I,0)
1.000	(I,0)
também	(I,0)
apresentarem	(I,0)
recompensas	(I,0)
maiores	(I,0)
-	(O,|)
no	(O,|)
caso	(O,|)
masculino	(O,|)
,	(O,|)
o	(O,|)
de	(O,|)
Xangai	(O,|)
paga	(O,|)
cerca	(O,|)
de	(O,|)
847	(O,|)
mil	(O,|)
euros	(O,|)
ao	(O,|)
vencedor	(O,|)
e	(O,|)
,	(O,|)
no	(O,|)
circuito	(O,|)
feminino	(O,|)
,	(O,|)
o	(O,|)
China	(O,|)
Open	(O,|)
paga	(O,|)
acima	(O,|)
disso	(O,|)
com	(O,|)
868,3	(O,|)
mil	(O,|)
euros	(O,|)
.	(O,|)
E	(O,|)
,	(O,|)
embora	(O,|)
os	(O,|)
principais	(O,|)
reforços	(O,|)
no	(O,|)
plano	(O,|)
das	(O,|)
verbas	(O,|)
tenham	(O,|)
sido	(O,|)
destinados	(O,|)
às	(O,|)
rondas	(O,|)
iniciais	(O,|)
,	(O,|)
no	(O,|)
sentido	(O,|)
de	(O,|)
apoiar	(O,|)
mais	(O,|)
aqueles	(O,|)
que	(O,|)
menos	(O,|)
longe	(O,|)
chegam	(O,|)
na	(O,|)
competição	(O,|)
,	(O,|)
esta	(O,|)
estratégia	(O,|)
também	(O,|)
melhora	(O,|)
o	(O,|)
montante	(O,|)
de	(O,|)
prémios	(O,|)
de	(O,|)
quem	(O,|)
mais	(O,|)
vezes	(O,|)
sai	(O,|)
vencedor	(O,|)
.	(O,|)
No	(O,|)
ano	(O,|)
passado	(O,|)
,	(O,|)
o	(O,|)
sérvio	(O,|)
Novak	(O,|)
Djokovic	(O,|)
somou	(O,|)
sete	(O,|)
troféus	(O,|)
,	(O,|)
incluindo	(O,|)
Wimbledon	(O,|)
e	(O,|)
quatro	(O,|)
Masters	(O,|)
1.000	(O,|)
,	(O,|)
algo	(O,|)
que	(O,|)
lhe	(O,|)
valeu	(O,|)
mais	(O,|)
de	(O,|)
13	(O,|)
milhões	(O,|)
de	(O,|)
euros	(O,|)
em	(O,|)
prémios	(O,|)
.	(O,|)
Desde	(O,|)
2005	(O,|)
,	(O,|)
quando	(O,|)
o	(O,|)
vencedor	(O,|)
no	(O,|)
Grand	(O,|)
Slam	(O,|)
britânico	(O,|)
recebeu	(O,|)
839	(O,|)
mil	(O,|)
euros	(O,|)
,	(O,|)
o	(O,|)
montante	(O,|)
cresceu	(O,|)
de	(O,|)
forma	(O,|)
espectacular	(O,|)
,	(O,|)
uma	(O,|)
vez	(O,|)
que	(O,|)
,	(O,|)
no	(O,|)
ano	(O,|)
passado	(O,|)
,	(O,|)
Nole	(O,|)
teve	(O,|)
direito	(O,|)
a	(O,|)
2,14	(O,|)
milhões	(O,|)
ao	(O,|)
impor-se	(O,|)
na	(O,|)
prova	(O,|)
.	(O,|)
E	(O,|)
,	(O,|)
num	(O,|)
ápice	(O,|)
,	(O,|)
os	(O,|)
prémios	(O,|)
de	(O,|)
carreira	(O,|)
já	(O,|)
vão	(O,|)
em	(O,|)
71,7	(O,|)
milhões	(O,|)
de	(O,|)
euros	(O,|)
.	(O,|)
